,player,kit,team,x,y,endx,endy,event,outcome,time
442,Fred,17,32,46.2,35.2,58.7,73.4,Pass,Successful,24
443,Luke Shaw,23,32,62.5,80.7,73.5,80.1,Pass,Successful,24
444,Anthony Martial,9,32,73.5,80.1,69.6,73.2,Pass,Successful,24
445,Luke Shaw,23,32,70.4,70.5,70.0,65.0,Pass,Successful,24
446,Bruno Fernandes,18,32,70.0,65.0,64.4,72.6,Pass,Successful,24
447,Fred,17,32,64.4,72.6,67.6,68.7,Pass,Unsuccessful,24
448,Abdoulaye Doucouré,16,31,35.1,33.7,0.0,0.0,BallRecovery,Successful,24
449,Abdoulaye Doucouré,16,31,41.3,6.2,42.8,19.4,Pass,Successful,24
450,Andros Townsend,14,31,67.1,24.8,85.8,17.8,Pass,Successful,24
451,Abdoulaye Doucouré,16,31,88.7,19.0,90.3,43.1,Pass,Successful,24
452,Salomón Rondón,33,31,90.0,41.5,0.0,0.0,SavedShot,Successful,24
453,Victor Lindelöf,2,32,8.9,57.5,0.0,0.0,Save,Successful,24
454,Bruno Fernandes,18,32,14.5,81.2,0.0,0.0,BallRecovery,Successful,24
455,Bruno Fernandes,18,32,29.4,73.7,39.0,41.2,Pass,Successful,24
456,Edinson Cavani,21,32,34.4,41.9,34.5,8.6,Pass,Successful,24
457,Aaron Wan-Bissaka,29,32,34.7,8.6,30.4,24.1,Pass,Successful,24
458,Edinson Cavani,21,32,30.0,27.1,29.1,46.9,Pass,Successful,24
459,Victor Lindelöf,2,32,29.1,46.9,42.4,69.3,Pass,Successful,24
460,Fred,17,32,42.4,69.3,61.3,95.7,Pass,Successful,24
461,Anthony Martial,9,32,57.1,95.1,43.6,91.2,Pass,Successful,24
462,Luke Shaw,23,32,43.4,87.6,38.9,69.3,Pass,Successful,24
463,Raphaël Varane,19,32,47.6,44.3,58.9,8.0,Pass,Successful,25
464,Aaron Wan-Bissaka,29,32,66.9,17.0,66.8,3.8,Pass,Successful,25
465,Mason Greenwood,11,32,65.7,8.2,45.6,19.1,Pass,Successful,25
466,Victor Lindelöf,2,32,47.3,26.2,53.5,76.4,Pass,Successful,25
467,Raphaël Varane,19,32,64.5,80.7,77.6,97.7,Pass,Successful,25
468,Anthony Martial,9,32,83.1,86.1,75.0,85.7,Pass,Successful,25
469,Luke Shaw,23,32,75.8,82.4,79.2,78.3,Pass,Successful,25
470,Anthony Martial,9,32,77.5,78.0,78.8,78.9,Pass,Unsuccessful,25
471,Ben Godfrey,22,31,25.8,24.8,0.0,0.0,BlockedPass,Successful,25
472,Luke Shaw,23,32,78.9,100.0,74.4,72.6,Pass,Successful,25
473,Fred,17,32,74.4,72.6,70.7,54.8,Pass,Successful,25
474,Scott McTominay,39,32,71.0,50.1,76.6,30.1,Pass,Successful,25
475,Mason Greenwood,11,32,81.2,28.5,0.0,0.0,SavedShot,Successful,25
476,Jordan Pickford,1,31,1.5,54.1,0.0,0.0,Save,Successful,25
477,Jordan Pickford,1,31,3.2,53.6,0.0,0.0,KeeperPickup,Successful,25
478,Jordan Pickford,1,31,10.1,56.0,76.3,60.9,Pass,Unsuccessful,26
479,Victor Lindelöf,2,32,24.1,29.0,40.9,43.1,Pass,Unsuccessful,26
480,Abdoulaye Doucouré,16,31,56.8,54.8,70.5,81.8,Pass,Successful,26
481,Anthony Gordon,24,31,70.8,81.4,74.1,75.8,Pass,Unsuccessful,26
482,Aaron Wan-Bissaka,29,32,28.7,23.2,0.0,0.0,BallRecovery,Successful,26
483,Aaron Wan-Bissaka,29,32,41.8,17.8,48.2,4.6,Pass,Successful,26
484,Allan,6,31,26.6,86.6,0.0,0.0,Challenge,Unsuccessful,26
485,Mason Greenwood,11,32,73.4,13.4,0.0,0.0,TakeOn,Successful,26
486,Mason Greenwood,11,32,73.3,17.0,79.7,91.1,Pass,Successful,26
487,Anthony Martial,9,32,92.1,72.1,0.0,0.0,TakeOn,Unsuccessful,26
488,Ben Godfrey,22,31,7.9,27.9,0.0,0.0,Tackle,Successful,26
489,Andros Townsend,14,31,13.9,27.2,0.0,0.0,BallTouch,Successful,26
490,Anthony Martial,9,32,86.5,71.7,70.1,60.6,Pass,Successful,26
491,Bruno Fernandes,18,32,70.1,60.6,91.1,26.8,Pass,Successful,26
492,Aaron Wan-Bissaka,29,32,91.1,26.8,0.0,0.0,BallTouch,Unsuccessful,26
493,Jordan Pickford,1,31,5.3,56.9,64.9,62.3,Pass,Unsuccessful,27
494,Raphaël Varane,19,32,33.2,43.6,60.3,34.6,Pass,Successful,27
495,Edinson Cavani,21,32,59.8,34.6,0.0,0.0,BallTouch,Unsuccessful,27
496,Allan,6,31,43.8,66.8,42.5,65.7,Pass,Unsuccessful,27
497,Edinson Cavani,21,32,59.6,36.4,0.0,0.0,BallTouch,Successful,27
498,Abdoulaye Doucouré,16,31,44.6,53.6,41.4,66.0,Pass,Successful,27
499,Allan,6,31,43.8,75.9,48.0,76.4,Pass,Successful,27
500,Anthony Gordon,24,31,46.4,76.5,0.0,0.0,Dispossessed,Successful,27
501,Scott McTominay,39,32,53.6,23.5,0.0,0.0,Tackle,Successful,27
502,Lucas Digne,12,31,38.0,84.3,52.9,0.0,Pass,Unsuccessful,27
503,Luke Shaw,23,32,53.5,100.0,61.9,81.0,Pass,Successful,29
504,Edinson Cavani,21,32,61.9,81.0,60.0,77.0,Pass,Unsuccessful,29
505,Allan,6,31,41.0,24.2,0.0,0.0,Interception,Successful,29
506,Allan,6,31,40.2,24.4,0.0,0.0,BallRecovery,Successful,29
507,Allan,6,31,40.2,24.4,40.6,23.3,Pass,Unsuccessful,29
508,Edinson Cavani,21,32,58.6,77.6,0.0,0.0,BlockedPass,Successful,29
509,Fred,17,32,57.1,76.1,0.0,0.0,BallTouch,Successful,29
510,Andros Townsend,14,31,41.0,17.8,55.0,31.0,Pass,Successful,30
511,Demarai Gray,11,31,54.8,56.3,40.6,64.8,Pass,Successful,30
512,Michael Keane,5,31,40.2,65.0,46.7,71.6,Pass,Successful,30
513,Abdoulaye Doucouré,16,31,46.8,71.7,67.5,96.9,Pass,Successful,30
514,Lucas Digne,12,31,67.5,96.9,72.8,88.1,Pass,Successful,30
515,Anthony Gordon,24,31,94.7,82.6,93.0,57.9,Pass,Successful,30
516,Salomón Rondón,33,31,92.5,60.6,0.0,0.0,MissedShots,Successful,30
517,Andros Townsend,14,31,92.0,49.7,0.0,0.0,SavedShot,Successful,30
518,Luke Shaw,23,32,7.4,49.6,0.0,0.0,Save,Successful,30
519,Raphaël Varane,19,32,3.4,44.8,26.8,58.5,Clearance,Successful,30
520,Ben Godfrey,22,31,72.8,41.3,0.0,0.0,Aerial,Successful,30
521,Anthony Martial,9,32,27.2,58.7,0.0,0.0,Aerial,Unsuccessful,30
522,Ben Godfrey,22,31,71.6,43.3,74.2,29.6,Pass,Successful,30
523,Demarai Gray,11,31,69.6,19.4,74.7,7.0,Pass,Successful,30
524,Allan,6,31,74.5,5.3,65.0,12.8,Pass,Successful,30
525,Demarai Gray,11,31,65.0,12.8,53.5,13.7,Pass,Successful,30
526,Yerry Mina,13,31,54.8,13.7,46.8,59.7,Pass,Successful,30
